fid,id,left,top,right,bottom
1,27224,778011.0548063321,5815567.973052206,778061.0548063321,5815617.973052206
2,27225,778011.0548063321,5815517.973052206,778061.0548063321,5815567.973052206
3,27226,778011.0548063321,5815467.973052206,778061.0548063321,5815517.973052206
4,28029,778061.0548063321,5815617.973052206,778111.0548063321,5815667.973052206
5,28030,778061.0548063321,5815567.973052206,778111.0548063321,5815617.973052206
6,28031,778061.0548063321,5815517.973052206,778111.0548063321,5815567.973052206
7,28032,778061.0548063321,5815467.973052206,778111.0548063321,5815517.973052206
8,28033,778061.0548063321,5815417.973052206,778111.0548063321,5815467.973052206
9,28034,778061.0548063321,5815367.973052206,778111.0548063321,5815417.973052206
10,28035,778061.0548063321,5815317.973052206,778111.0548063321,5815367.973052206
11,28036,778061.0548063321,5815267.973052206,778111.0548063321,5815317.973052206
12,28835,778111.0548063321,5815617.973052206,778161.0548063321,5815667.973052206
13,28836,778111.0548063321,5815567.973052206,778161.0548063321,5815617.973052206
14,28837,778111.0548063321,5815517.973052206,778161.0548063321,5815567.973052206
15,28838,778111.0548063321,5815467.973052206,778161.0548063321,5815517.973052206
16,28839,778111.0548063321,5815417.973052206,778161.0548063321,5815467.973052206
17,28840,778111.0548063321,5815367.973052206,778161.0548063321,5815417.973052206
18,28841,778111.0548063321,5815317.973052206,778161.0548063321,5815367.973052206
19,28842,778111.0548063321,5815267.973052206,778161.0548063321,5815317.973052206
20,28843,778111.0548063321,5815217.973052206,778161.0548063321,5815267.973052206
21,28844,778111.0548063321,5815167.973052206,778161.0548063321,5815217.973052206
22,28845,778111.0548063321,5815117.973052206,778161.0548063321,5815167.973052206
23,28846,778111.0548063321,5815067.973052206,778161.0548063321,5815117.973052206
24,29640,778161.0548063321,5815667.973052206,778211.0548063321,5815717.973052206
25,29641,778161.0548063321,5815617.973052206,778211.0548063321,5815667.973052206
26,29642,778161.0548063321,5815567.973052206,778211.0548063321,5815617.973052206
27,29643,778161.0548063321,5815517.973052206,778211.0548063321,5815567.973052206
28,29644,778161.0548063321,5815467.973052206,778211.0548063321,5815517.973052206
29,29645,778161.0548063321,5815417.973052206,778211.0548063321,5815467.973052206
30,29646,778161.0548063321,5815367.973052206,778211.0548063321,5815417.973052206
31,29647,778161.0548063321,5815317.973052206,778211.0548063321,5815367.973052206
32,29648,778161.0548063321,5815267.973052206,778211.0548063321,5815317.973052206
33,29649,778161.0548063321,5815217.973052206,778211.0548063321,5815267.973052206
34,29650,778161.0548063321,5815167.973052206,778211.0548063321,5815217.973052206
35,29651,778161.0548063321,5815117.973052206,778211.0548063321,5815167.973052206
36,29652,778161.0548063321,5815067.973052206,778211.0548063321,5815117.973052206
37,29653,778161.0548063321,5815017.973052206,778211.0548063321,5815067.973052206
38,29654,778161.0548063321,5814967.973052206,778211.0548063321,5815017.973052206
39,29655,778161.0548063321,5814917.973052206,778211.0548063321,5814967.973052206
40,29656,778161.0548063321,5814867.973052206,778211.0548063321,5814917.973052206
41,29657,778161.0548063321,5814817.973052206,778211.0548063321,5814867.973052206
42,29658,778161.0548063321,5814767.973052206,778211.0548063321,5814817.973052206
43,30446,778211.0548063321,5815667.973052206,778261.0548063321,5815717.973052206
44,30447,778211.0548063321,5815617.973052206,778261.0548063321,5815667.973052206
45,30448,778211.0548063321,5815567.973052206,778261.0548063321,5815617.973052206
46,30449,778211.0548063321,5815517.973052206,778261.0548063321,5815567.973052206
47,30450,778211.0548063321,5815467.973052206,778261.0548063321,5815517.973052206
48,30451,778211.0548063321,5815417.973052206,778261.0548063321,5815467.973052206
49,30452,778211.0548063321,5815367.973052206,778261.0548063321,5815417.973052206
